,dataset.seed,dataset.samples_train,weights_product,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,loss_test,loss_train,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_rms
0,1.0,2.0,0.841530978679657,0.7006802558898926,0.35388001799583435,0.8328706622123718,0.4206423759460449,0.47910910844802856,2.942091015256665e-14,0.01774057000875473,0.40474408864974976,0.5546011924743652,0.8513787388801575,0.6691404246128194
1,1.0,3.0,3.21304988861084,1.3155837059020996,1.8232555389404297,0.9323667883872986,1.0021014213562012,0.2417227029800415,5.10702591327572e-15,0.9266781210899353,1.492593765258789,0.5820680260658264,0.8150832653045654,0.6682559297788535
2,1.0,4.0,15.341348648071289,4.1306257247924805,3.3893206119537354,1.7799049615859985,1.5450819730758667,0.023228073492646217,1.8768320231288271e-13,2.9835546016693115,6.028450965881348,1.2742160558700562,1.614446759223938,0.713105203532724
3,1.0,5.0,14.671744346618652,3.893357276916504,2.763368844985962,1.7355836629867554,1.3243293762207031,0.019166791811585426,4.0012437129864284e-14,2.9726967811584473,5.442045211791992,1.2492012977600098,1.470698595046997,0.7060448599098669
4,1.0,6.0,20.886497497558594,4.612878322601318,5.925839900970459,1.7887203693389893,1.8993011713027954,0.017947111278772354,1.178686732635284e-13,5.450445175170898,7.348559856414795,1.2846869230270386,1.4481796026229858,0.6877691597993066
5,1.0,7.0,22.29632568359375,4.734257698059082,4.066034317016602,1.8862396478652954,1.733934998512268,0.0077624814584851265,4.9991755797940823e-14,4.905646800994873,6.531166076660156,1.4018011093139648,1.4242175817489624,0.7232305972480049
6,1.0,8.0,26.150327682495117,5.387173652648926,3.6053719520568848,1.9726375341415405,1.5649080276489258,0.014653312973678112,1.3047896096907152e-13,5.217826843261719,7.510979652404785,1.4875175952911377,1.4780510663986206,0.7695571099297663
7,1.0,9.0,13.524507522583008,3.858764410018921,3.3352742195129395,1.6679329872131348,1.4536681175231934,0.00013390043750405312,1.77197761130031e-13,4.069279670715332,4.632405757904053,1.2935541868209839,1.4847863912582397,0.6825145335046222
8,1.0,10.0,12.288694381713867,3.8132355213165283,3.9253859519958496,1.645622730255127,1.631422758102417,0.0002257988671772182,3.878286580771828e-13,3.989637613296509,4.503477096557617,1.4212791919708252,1.3155771493911743,0.6737931680839085
9,2.0,2.0,1.231949806213379,1.5019954442977905,0.7585824728012085,1.2194160223007202,0.6158662438392639,0.5576755404472351,2.5579538487363607e-13,0.01730452850461006,0.5839164853096008,0.7975162267684937,1.1898542642593384,0.6725514805488162
10,2.0,3.0,2.051809310913086,1.728550910949707,1.8954206705093384,1.2194647789001465,1.0889521837234497,0.34820830821990967,1.3364309658925322e-14,0.5820999145507812,0.9399198293685913,0.8360547423362732,1.0852910280227661,0.6692428169309146
11,2.0,4.0,24.76719093322754,9.492713928222656,17.664756774902344,2.3537540435791016,2.697878122329712,0.18477387726306915,1.4353882665796291e-13,4.921304702758789,9.866382598876953,1.0999692678451538,1.844459056854248,0.7747698038138882
12,2.0,5.0,15.745774269104004,7.371386528015137,20.69339370727539,1.7421923875808716,2.453413724899292,0.02411321923136711,3.420666663334418e-14,3.956963300704956,5.740540981292725,0.7874343395233154,1.2523761987686157,0.6817301292961331
13,2.0,6.0,16.264881134033203,7.838117599487305,19.898555755615234,1.7485780715942383,2.2574024200439453,0.03283531591296196,2.689746517149042e-14,3.522979497909546,5.3495941162109375,0.7516981363296509,1.0967998504638672,0.6853477620056335
14,2.0,7.0,19.465822219848633,5.769335746765137,2.019897699356079,1.8148488998413086,1.1794768571853638,0.005235456395894289,5.010277810040334e-14,4.552485466003418,6.199380397796631,0.9693049788475037,1.0226004123687744,0.7095803386985109
15,2.0,8.0,16.181068420410156,5.831606388092041,4.714425563812256,1.784819483757019,1.5563597679138184,0.0025151330046355724,2.721438525921105e-13,4.218660354614258,5.845327377319336,0.8890467882156372,1.0900708436965942,0.6895096270061798
16,2.0,9.0,16.456695556640625,5.835211753845215,5.134697914123535,1.8250256776809692,1.735404133796692,0.00034595056786201894,9.639203091315121e-14,4.255008220672607,5.31215238571167,0.9390137791633606,1.1407219171524048,0.6811793097676643
17,2.0,10.0,12.879533767700195,5.840970993041992,6.527403354644775,1.8340624570846558,1.7786468267440796,0.00033238224568776786,3.01123356935204e-13,4.232895374298096,4.570653438568115,0.9825141429901123,1.0851677656173706,0.6766425319017837
18,3.0,2.0,1.0673712491989136,1.1274973154067993,0.5694441199302673,1.0565142631530762,0.5335935354232788,0.37926387786865234,1.1368683772161603e-13,0.02352863736450672,0.5059140920639038,0.69481360912323,1.0970672369003296,0.6719890526562231
19,3.0,3.0,1.5526915788650513,1.2069915533065796,1.1762782335281372,1.0565816164016724,0.8700129985809326,0.28693822026252747,1.480297330873836e-15,0.33142659068107605,0.7022032737731934,0.7112320065498352,1.0048414468765259,0.6698833761299232
20,3.0,4.0,1.7822200059890747,1.1908626556396484,1.0777181386947632,1.0348408222198486,0.8893986940383911,0.23475374281406403,2.3470461685271005e-13,0.47234809398651123,0.7524504661560059,0.7806225419044495,0.8347235321998596,0.6692189804990397
21,3.0,5.0,24.893274307250977,6.381525039672852,5.255595684051514,2.051687240600586,1.8082218170166016,0.026094544678926468,6.105588040358767e-13,4.469808578491211,8.8497953414917,1.2657512426376343,1.6429892778396606,0.8077095085415272
22,3.0,6.0,24.596893310546875,6.246251106262207,9.7626314163208,2.0311059951782227,2.4024932384490967,0.030229199677705765,2.5839516615798475e-13,4.967871189117432,7.678557395935059,1.2853834629058838,1.5695346593856812,0.7501202429629468
23,3.0,7.0,21.5115966796875,5.159921646118164,5.859755992889404,2.024343252182007,1.9855042695999146,0.010352393612265587,3.632015275014701e-14,5.158564567565918,6.434070110321045,1.4281022548675537,1.5077884197235107,0.6924680569570111
24,3.0,8.0,26.255874633789062,5.379784107208252,3.479825258255005,2.0031473636627197,1.4736018180847168,0.019207103177905083,3.2202712718643056e-13,5.386572360992432,7.476579189300537,1.4748115539550781,1.4619022607803345,0.7671635818823508
25,3.0,9.0,15.110990524291992,4.42813777923584,3.7425951957702637,1.8434691429138184,1.652288556098938,0.0002311879361514002,1.624271734907562e-13,3.789518117904663,5.012427806854248,1.310785174369812,1.4162940979003906,0.7008487194425854
26,3.0,10.0,15.323467254638672,4.661657333374023,4.732287406921387,1.8966293334960938,1.8487637042999268,6.403578299796209e-05,2.5251467041485787e-13,3.914006233215332,4.963438034057617,1.3314201831817627,1.3577876091003418,0.709447808599032
27,4.0,2.0,0.40187785029411316,0.15977132320404053,0.08069117367267609,0.3977104425430298,0.2008621096611023,0.2798176109790802,1.5987211554602254e-14,0.006867076735943556,0.20614202320575714,0.28243488073349,0.4001208245754242,0.6677282011356517
28,4.0,3.0,3.072774887084961,0.6114734411239624,0.8587762713432312,0.6473740935325623,0.6460115909576416,0.08560160547494888,8.901444678739972e-15,0.7931392192840576,1.4406113624572754,0.3769855201244354,0.579049825668335,0.66890263255116
29,4.0,4.0,9.075462341308594,1.8207577466964722,4.188971996307373,1.0041760206222534,1.3531928062438965,0.007716151885688305,1.0627002750007719e-13,2.073690176010132,3.8540585041046143,0.5070223212242126,0.8156675100326538,0.6760091055373062
30,4.0,5.0,7.40294885635376,1.6526780128479004,3.5770885944366455,0.8799487352371216,1.1300153732299805,0.004811422899365425,4.313389923016331e-15,1.826716423034668,2.8057119846343994,0.44008997082710266,0.6517199873924255,0.671101721680188
31,4.0,6.0,10.530820846557617,1.6531480550765991,0.9547934532165527,1.0430766344070435,0.8288622498512268,0.0021536280401051044,7.595920420433444e-15,2.6240665912628174,3.8480687141418457,0.6434748768806458,0.7022371292114258,0.6750208494898201
32,4.0,7.0,12.914474487304688,1.8474926948547363,2.2648587226867676,1.0753281116485596,1.0273910760879517,0.0020878876093775034,3.544833223072426e-14,2.6635680198669434,3.928577184677124,0.597967267036438,0.6778799891471863,0.6872231749871028
33,4.0,8.0,16.051782608032227,2.097184419631958,2.0579416751861572,1.1762539148330688,1.1130883693695068,0.005399435758590698,9.18642603393166e-14,3.1835243701934814,4.677577972412109,0.598918080329895,0.7120868563652039,0.7144415785773918
34,4.0,9.0,7.931100845336914,1.5249106884002686,1.4404951333999634,0.910414457321167,0.9019272327423096,0.00011485904542496428,2.1106573655721786e-14,2.392115592956543,2.8477277755737305,0.5301240086555481,0.6199987530708313,0.6697426767423874
35,4.0,10.0,7.784689426422119,1.6193350553512573,1.4093340635299683,0.9394415020942688,0.9299729466438293,0.00011597175762290135,2.1014092904474667e-14,2.4473676681518555,2.497042417526245,0.546154260635376,0.5999071002006531,0.6694081354947169
36,5.0,2.0,1.229116678237915,1.4950170516967773,0.7550687193870544,1.2165800333023071,0.6144382357597351,0.34137725830078125,8.881784197001252e-15,0.036931175738573074,0.6182270050048828,0.8295235633850098,1.2755653858184814,0.672887979274476
37,5.0,3.0,1.726802110671997,1.5783944129943848,1.488986611366272,1.2165274620056152,0.9818182587623596,0.2899168133735657,5.242102935000721e-14,0.36076781153678894,0.785153865814209,0.8201853036880493,1.0520309209823608,0.6705184885068454
38,5.0,4.0,17.446762084960938,5.18488883972168,9.154486656188965,1.6760728359222412,1.9267914295196533,0.04574831575155258,6.564193633096238e-14,3.237163782119751,7.012945652008057,0.6941048502922058,1.2622753381729126,0.72934404900255
39,5.0,5.0,15.845955848693848,4.906368255615234,8.270713806152344,1.5922610759735107,1.7120552062988281,0.03646649047732353,1.5704382510129539e-13,3.091247797012329,5.875833034515381,0.6225941181182861,1.0716508626937866,0.7122309538530804
40,5.0,6.0,27.083587646484375,6.362319469451904,3.4101765155792236,2.1552577018737793,1.5152640342712402,0.016073614358901978,1.432025749066937e-13,6.709052562713623,9.426189422607422,1.3470243215560913,1.484158992767334,0.7090080883394216
41,5.0,7.0,22.857175827026367,5.604569911956787,2.2506840229034424,2.0211899280548096,1.1288459300994873,0.0070855445228517056,8.467829708909066e-14,5.998569488525391,7.650935649871826,1.2199265956878662,1.2672607898712158,0.6947506440097873
42,5.0,8.0,19.192012786865234,5.508035659790039,4.855393409729004,2.0615234375,1.8228604793548584,0.0043581887148320675,3.830356171130589e-13,5.664800643920898,6.104468822479248,1.1738810539245605,1.369625210762024,0.6909806249817317
43,5.0,9.0,15.872220993041992,4.844886302947998,4.597140789031982,1.9637287855148315,1.7992346286773682,0.0004695808165706694,1.11153368952642e-13,4.946348667144775,5.779066562652588,1.1617417335510254,1.2994900941848755,0.6954790437290607
44,5.0,10.0,13.907041549682617,4.872772693634033,4.840950965881348,1.9570519924163818,1.850484848022461,0.00011174671089975163,3.014380466157679e-13,4.6187615394592285,5.139598846435547,1.1574565172195435,1.2443227767944336,0.6777100641093633
45,6.0,2.0,0.3617980480194092,0.1295340210199356,0.06542046368122101,0.35810431838035583,0.18085969984531403,0.07349874824285507,4.440892098500626e-16,0.008705256506800652,0.18161417543888092,0.2364928126335144,0.33712443709373474,0.6676759035850324
46,6.0,3.0,0.652628481388092,0.15803386270999908,0.18417036533355713,0.3581102788448334,0.3361397981643677,0.10494634509086609,4.391922212144099e-16,0.20319537818431854,0.2993873357772827,0.24204003810882568,0.3213352560997009,0.6673667237352251
47,6.0,4.0,8.129981994628906,1.004294514656067,1.1462104320526123,0.8867164850234985,0.8984982967376709,0.18370576202869415,9.613149035483937e-14,1.7018389701843262,3.2647626399993896,0.6517497897148132,0.7784740328788757,0.6780140440251267
48,6.0,5.0,16.657386779785156,1.8473626375198364,2.8704419136047363,1.0757992267608643,1.189710021018982,0.02404973655939102,8.387804068931554e-14,3.0283377170562744,5.571287155151367,0.5790362358093262,0.8129053711891174,0.7151171627538024
49,6.0,6.0,31.46799659729004,4.450963973999023,2.211177110671997,1.472847580909729,1.1371992826461792,0.019271869212388992,3.635778472992762e-13,5.211296081542969,9.790132522583008,0.7814178466796875,1.0540159940719604,0.8849377389441909
50,6.0,7.0,34.54510498046875,4.908759593963623,6.617110252380371,1.7021963596343994,1.8218415975570679,0.03187185525894165,5.093272266616655e-13,5.954197406768799,9.82252025604248,0.9130381941795349,1.0585943460464478,0.8444995474574283
51,6.0,8.0,17.74973487854004,1.9448384046554565,1.9187474250793457,1.113140344619751,1.0727391242980957,0.0012403415748849511,1.61483673655205e-13,4.723815441131592,5.488114356994629,0.7386431694030762,0.7513963580131531,0.6839127791820793
52,6.0,9.0,17.703571319580078,2.0047683715820312,1.8396042585372925,1.1216650009155273,1.0929439067840576,0.000616848876234144,4.5450665800417234e-13,4.497050762176514,5.682868957519531,0.7203934788703918,0.7833011746406555,0.6879003980033835
53,6.0,10.0,20.191387176513672,2.0306625366210938,1.0280959606170654,1.069860577583313,0.8147646188735962,0.00030652963323518634,4.4655267981627556e-13,4.368452072143555,5.5238118171691895,0.6705037355422974,0.7573606967926025,0.7421942397737256
54,7.0,2.0,0.923388659954071,0.8437086343765259,0.4261167645454407,0.9139319658279419,0.4615824818611145,0.20444446802139282,3.019806626980426e-14,0.015752742066979408,0.4736548066139221,0.6360317468643188,0.9453194737434387,0.6706704141252581
55,7.0,3.0,1.317076325416565,0.895943284034729,0.8573744893074036,0.913921594619751,0.7440633773803711,0.21840272843837738,2.4281502169717396e-14,0.27904772758483887,0.6053200364112854,0.6153751015663147,0.8217809200286865,0.6693039702904587
56,7.0,4.0,16.594879150390625,4.742082595825195,5.372389793395996,1.9330371618270874,1.9575749635696411,0.05211266875267029,4.078959392472825e-13,3.4959802627563477,6.658247947692871,1.3875371217727661,1.5863889455795288,0.7070509650743058
57,7.0,5.0,11.243589401245117,3.5899274349212646,5.712711334228516,1.582618236541748,1.8728573322296143,0.0037930523976683617,1.1169121454535774e-13,2.9037725925445557,4.181612491607666,1.191460371017456,1.3833855390548706,0.6747891926718419
58,7.0,6.0,15.293644905090332,4.14566707611084,7.370169162750244,1.7583271265029907,2.1269094944000244,0.008793787099421024,1.5413741450190886e-14,2.8301358222961426,4.71883487701416,1.233542561531067,1.3432221412658691,0.6888252150457955
59,7.0,7.0,17.031574249267578,3.8195362091064453,4.4282379150390625,1.7424741983413696,1.8672040700912476,0.006049826741218567,6.47066696556585e-14,3.1038525104522705,4.938610076904297,1.26139235496521,1.3006541728973389,0.7173340799941725
60,7.0,8.0,12.367474555969238,3.146940231323242,2.823498249053955,1.5629099607467651,1.4025386571884155,0.0009389946353621781,7.247154265588307e-14,3.057676315307617,3.7606265544891357,1.2067933082580566,1.2756028175354004,0.6795131851533299
61,7.0,9.0,12.217443466186523,3.1514892578125,2.534843683242798,1.5444711446762085,1.2686941623687744,0.0005294585134834051,2.4941930031746606e-13,2.982330322265625,3.9584691524505615,1.1693408489227295,1.3298124074935913,0.6769382122085548
62,7.0,10.0,12.792136192321777,3.2269628047943115,4.229534149169922,1.5089712142944336,1.6326639652252197,0.0004712269001174718,1.8157835803521427e-13,2.9275410175323486,3.672391653060913,1.135104775428772,1.1707260608673096,0.679546934111618
63,8.0,2.0,0.9791513085365295,0.9487140774726868,0.47914427518844604,0.9691371917724609,0.4894610643386841,0.5774228572845459,1.7763568394002505e-15,0.02159171551465988,0.4983525276184082,0.657225489616394,0.9789265394210815,0.6712888654245297
64,8.0,3.0,1.2270352840423584,0.9694753885269165,0.8180205821990967,0.9691555500030518,0.7336390614509583,0.6173498034477234,2.895022072004101e-14,0.17674776911735535,0.5646363496780396,0.6627443432807922,0.8511739373207092,0.6702112457630528
65,8.0,4.0,8.2692232131958,1.7437406778335571,2.595144033432007,0.9922109246253967,0.9973368644714355,0.3595024049282074,1.8121962264139313e-13,1.5218524932861328,3.32686185836792,0.4217999279499054,0.7537943720817566,0.6868528803129551
66,8.0,5.0,32.32136535644531,9.4609956741333,1.5208525657653809,2.2219955921173096,0.9479199647903442,0.005818494129925966,3.6184388276482016e-13,5.191911697387695,11.705198287963867,1.1644543409347534,1.700610876083374,0.9506400351629881
67,8.0,6.0,32.25664138793945,9.155890464782715,2.535348415374756,2.247504949569702,1.3371062278747559,0.0031912634149193764,2.1209191358468465e-13,5.919088840484619,10.464271545410156,1.2394250631332397,1.6063152551651,0.9184861194048339
68,8.0,7.0,29.929967880249023,8.556646347045898,2.1385321617126465,2.2247323989868164,1.1197830438613892,0.0009757881052792072,4.0280130034382744e-13,5.88173246383667,8.984753608703613,1.2761824131011963,1.4029446840286255,0.8772305900079687
69,8.0,8.0,30.13309097290039,8.775733947753906,2.4430768489837646,2.214700937271118,1.2455635070800781,0.0016571559244766831,1.200319357796964e-12,5.638780117034912,7.6133131980896,1.2288650274276733,1.4266743659973145,0.9075786761156214
70,8.0,9.0,24.693115234375,7.988828659057617,4.2522454261779785,2.2113664150238037,1.6079086065292358,7.208110037026927e-05,1.3874965629559477e-12,5.398283004760742,7.844428062438965,1.2176932096481323,1.4887374639511108,0.8102421292000865
71,8.0,10.0,23.398426055908203,7.834575653076172,4.72566032409668,2.2189900875091553,1.749085783958435,0.00038484035758301616,4.588551760775772e-13,5.575796127319336,6.982707977294922,1.2260171175003052,1.3670554161071777,0.7707864192842787
72,9.0,2.0,0.4576510488986969,0.2072601318359375,0.10467700660228729,0.4529762268066406,0.22877609729766846,0.09496042132377625,0.0,0.007805940695106983,0.2141667902469635,0.31352007389068604,0.4511461853981018,0.6686450581819128
73,9.0,3.0,1.1598294973373413,0.22571390867233276,0.08789447695016861,0.45297741889953613,0.22859658300876617,0.0943661704659462,2.6645352591003757e-15,0.17757216095924377,0.5404338240623474,0.31158530712127686,0.3991154134273529,0.6692994395077951
74,9.0,4.0,10.999349594116211,1.6120452880859375,2.153581380844116,0.9864872694015503,0.9180988073348999,0.014347757212817669,9.444615228781927e-14,2.109544515609741,4.540756702423096,0.45719438791275024,0.797178328037262,0.6958270709434126
75,9.0,5.0,9.203714370727539,1.2918580770492554,1.9906189441680908,0.88482666015625,0.8770373463630676,0.007752534002065659,3.419643108720956e-14,1.838442087173462,3.33306884765625,0.416695773601532,0.634553849697113,0.6832803169315289
76,9.0,6.0,12.13979434967041,1.4435088634490967,0.7265100479125977,1.050877332687378,0.6723081469535828,0.004369177855551243,5.4410181194548476e-14,3.1042914390563965,4.196666240692139,0.7075860500335693,0.7129560708999634,0.6745912805082629
77,9.0,7.0,12.26999282836914,1.5179150104522705,1.91342294216156,1.0047461986541748,0.9464823603630066,0.0014505727449432015,5.651233401051704e-14,2.7580037117004395,3.6872119903564453,0.5589177012443542,0.6280167698860168,0.678018985439057
78,9.0,8.0,11.329421997070312,1.4547202587127686,1.0586788654327393,1.0381512641906738,0.8522316813468933,0.0007581336540170014,3.1465390189222564e-14,2.679044485092163,3.4140336513519287,0.6459144353866577,0.6450533866882324,0.678381912625188
79,9.0,9.0,9.754303932189941,1.2894493341445923,0.9967429041862488,0.9750989675521851,0.792261004447937,0.00021419106633402407,2.2037927038809357e-14,2.633571147918701,3.395576000213623,0.5854024887084961,0.6664103865623474,0.6725798045843882
80,9.0,10.0,8.011102676391602,1.2133252620697021,1.0778402090072632,0.9598115682601929,0.8817451596260071,6.16342294961214e-05,5.463407571943031e-14,2.403369188308716,2.707414388656616,0.5929423570632935,0.6149002909660339,0.6702187636821897
81,10.0,2.0,0.24456922709941864,0.059138618409633636,0.029867863282561302,0.2419653683900833,0.12220446765422821,0.5574295520782471,1.7763568394002505e-15,0.004211207386106253,0.11908278614282608,0.16444067656993866,0.2444094568490982,0.6688133530311502
82,10.0,3.0,2.6842291355133057,0.2818835973739624,0.13055014610290527,0.4426717758178711,0.2766144275665283,0.4881840944290161,3.2955121243667326e-14,0.5669803023338318,1.2098599672317505,0.23490144312381744,0.41296517848968506,0.6713201541329554
83,10.0,4.0,16.132850646972656,4.23121976852417,7.823512077331543,1.7706373929977417,1.9736310243606567,0.05043259635567665,9.325873406851315e-15,3.6352055072784424,6.567744731903076,1.1123244762420654,1.4733285903930664,0.6973750446959976
84,10.0,5.0,20.873546600341797,5.7093658447265625,5.748124122619629,2.0874674320220947,1.7638565301895142,0.03945721313357353,6.082079420178035e-14,4.506185531616211,7.603909015655518,1.3112807273864746,1.7789262533187866,0.742727784783074
85,10.0,6.0,26.310876846313477,6.4485650062561035,6.0504608154296875,2.2202744483947754,1.9895004034042358,0.015550754964351654,4.9081110676347725e-14,7.187974452972412,9.651017189025879,1.5953705310821533,1.7034542560577393,0.6979070347906791
86,10.0,7.0,25.959808349609375,6.091188430786133,4.630373477935791,2.1686623096466064,1.6256247758865356,0.008974496275186539,3.4589990377184576e-13,6.728452205657959,8.367714881896973,1.5548083782196045,1.598791480064392,0.7095964544874703
87,10.0,8.0,15.201227188110352,5.321996688842773,5.521368980407715,2.0196733474731445,1.9545022249221802,0.00018142288899980485,1.7253559692065323e-13,5.702427864074707,5.960699081420898,1.4828786849975586,1.5268981456756592,0.6786492993903934
88,10.0,9.0,15.448888778686523,5.372441291809082,4.911659240722656,2.030322551727295,1.8584580421447754,0.0001164362984127365,2.2154038315218977e-13,5.250772953033447,6.2660136222839355,1.506807565689087,1.5684772729873657,0.6846985025003309
89,10.0,10.0,16.200645446777344,5.349079608917236,5.580947399139404,2.017441987991333,1.9368282556533813,4.629818431567401e-05,8.774370119368768e-13,5.46770715713501,6.185527801513672,1.3942656517028809,1.5379668474197388,0.6818084245898298
